date,New cases
Wed Jan 29 2020,1
Thu Jan 30 2020,0
Sun Feb 02 2020,1
Mon Feb 03 2020,0
Tue Feb 04 2020,0
Wed Feb 05 2020,0
Fri Feb 07 2020,0
Sun Feb 09 2020,0
Mon Feb 10 2020,0
Tue Feb 11 2020,0
Wed Feb 12 2020,0
Thu Feb 13 2020,0
Sun Feb 16 2020,0
Mon Feb 17 2020,0
Tue Feb 18 2020,0
Wed Feb 19 2020,0
Thu Feb 20 2020,0
Sun Feb 23 2020,1
Mon Feb 24 2020,0
Tue Feb 25 2020,0
Wed Feb 26 2020,1
Thu Feb 27 2020,1
Sun Mar 01 2020,12
Mon Mar 02 2020,2
Tue Mar 03 2020,0
Wed Mar 04 2020,2
Thu Mar 05 2020,4
Fri Mar 06 2020,2
Sat Mar 07 2020,1
Sun Mar 08 2020,6
Mon Mar 09 2020,1
Tue Mar 10 2020,6
Wed Mar 11 2020,17
Thu Mar 12 2020,20
Fri Mar 13 2020,24
Sat Mar 14 2020,42
Sun Mar 15 2020,32
Mon Mar 16 2020,12
Tue Mar 17 2020,25
Wed Mar 18 2020,44
Thu Mar 19 2020,60
Fri Mar 20 2020,59
Sat Mar 21 2020,48
Sun Mar 22 2020,78
Mon Mar 23 2020,85
Tue Mar 24 2020,100
Wed Mar 25 2020,170
Thu Mar 26 2020,135
Fri Mar 27 2020,151
Sat Mar 28 2020,211
Sun Mar 29 2020,351
Mon Mar 30 2020,260
Tue Mar 31 2020,426
Wed Apr 01 2020,401
Thu Apr 02 2020,462
Fri Apr 03 2020,375
Sat Apr 04 2020,408
Sun Apr 05 2020,309
Mon Apr 06 2020,379
Tue Apr 07 2020,550
Wed Apr 08 2020,483
Thu Apr 09 2020,478
Fri Apr 10 2020,411
Sat Apr 11 2020,401
Sun Apr 12 2020,421
Mon Apr 13 2020,483
Tue Apr 14 2020,494
Wed Apr 15 2020,514
Thu Apr 16 2020,564
Fri Apr 17 2020,485
Sat Apr 18 2020,568
Sun Apr 19 2020,606
Mon Apr 20 2020,551
Tue Apr 21 2020,510
Wed Apr 22 2020,634
Thu Apr 23 2020,640
Fri Apr 24 2020,476
Sat Apr 25 2020,437
Sun Apr 26 2020,424
Mon Apr 27 2020,525
Tue Apr 28 2020,347
Wed Apr 29 2020,459
Thu Apr 30 2020,421
Fri May 01 2020,511
Sat May 02 2020,434
Sun May 03 2020,370
Mon May 04 2020,387
Tue May 05 2020,412
Wed May 06 2020,399
Thu May 07 2020,477
Fri May 08 2020,346
Sat May 09 2020,294
Sun May 10 2020,308
Mon May 11 2020,361
Tue May 12 2020,329
Wed May 13 2020,345
Thu May 14 2020,341
Fri May 15 2020,391
Sat May 16 2020,340
Sun May 17 2020,304
Mon May 18 2020,427
Tue May 19 2020,390
Wed May 20 2020,413
Thu May 21 2020,441
Fri May 22 2020,412
Sat May 23 2020,460
Sun May 24 2020,404
Mon May 25 2020,287
Tue May 26 2020,292
Wed May 27 2020,383
Thu May 28 2020,344
Fri May 29 2020,323
Sat May 30 2020,326
Sun May 31 2020,404
Mon Jun 01 2020,446
Tue Jun 02 2020,338
Wed Jun 03 2020,356
Thu Jun 04 2020,344
Fri Jun 05 2020,455
Sat Jun 06 2020,415
Sun Jun 07 2020,243
Mon Jun 08 2020,230
Tue Jun 09 2020,251
Wed Jun 10 2020,203
Thu Jun 11 2020,182
Fri Jun 12 2020,266
Sat Jun 13 2020,197
Sun Jun 14 2020,181
Mon Jun 15 2020,184
Tue Jun 16 2020,190
Wed Jun 17 2020,173
Thu Jun 18 2020,178
Fri Jun 19 2020,206
Sat Jun 20 2020,175
Sun Jun 21 2020,161
Mon Jun 22 2020,216
Tue Jun 23 2020,163
Wed Jun 24 2020,189
Thu Jun 25 2020,111
Fri Jun 26 2020,160
Sat Jun 27 2020,178
Sun Jun 28 2020,257
Mon Jun 29 2020,157
Tue Jun 30 2020,149
Wed Jul 01 2020,153
Thu Jul 02 2020,165
Fri Jul 03 2020,121
Sat Jul 04 2020,138
Sun Jul 05 2020,154
Mon Jul 06 2020,112
Tue Jul 07 2020,118
Wed Jul 08 2020,170
Thu Jul 09 2020,116
Fri Jul 10 2020,130
Sat Jul 11 2020,129
Sun Jul 12 2020,116
Mon Jul 13 2020,111
Tue Jul 14 2020,102
Wed Jul 15 2020,111
Thu Jul 16 2020,111
Fri Jul 17 2020,166
Sat Jul 18 2020,164
Sun Jul 19 2020,135
Mon Jul 20 2020,203
Tue Jul 21 2020,165
Wed Jul 22 2020,103
Thu Jul 23 2020,195
Fri Jul 24 2020,138
Sat Jul 25 2020,137
Sun Jul 26 2020,119
Mon Jul 27 2020,111
Tue Jul 28 2020,76
Wed Jul 29 2020,89
Thu Jul 30 2020,134
Fri Jul 31 2020,124
Sat Aug 01 2020,116
Sun Aug 02 2020,88
Mon Aug 03 2020,91
Tue Aug 04 2020,86
Wed Aug 05 2020,95
Thu Aug 06 2020,88
Fri Aug 07 2020,70
Sat Aug 08 2020,79
Sun Aug 09 2020,115
Mon Aug 10 2020,33
Tue Aug 11 2020,95
Wed Aug 12 2020,78
Thu Aug 13 2020,92
Fri Aug 14 2020,106
Sat Aug 15 2020,81
Sun Aug 16 2020,99
Mon Aug 17 2020,125
Tue Aug 18 2020,102
Wed Aug 19 2020,76
Thu Aug 20 2020,131
Fri Aug 21 2020,108
Sat Aug 22 2020,115
Sun Aug 23 2020,105
Mon Aug 24 2020,100
Tue Aug 25 2020,88
Wed Aug 26 2020,118
Thu Aug 27 2020,122
Fri Aug 28 2020,148
Sat Aug 29 2020,112
Sun Aug 30 2020,114
Mon Aug 31 2020,112
Tue Sep 01 2020,133
Wed Sep 02 2020,132
Thu Sep 03 2020,148
Fri Sep 04 2020,169
Sat Sep 05 2020,158
Sun Sep 06 2020,190
Mon Sep 07 2020,185
Tue Sep 08 2020,149
Wed Sep 09 2020,170
Thu Sep 10 2020,213
Fri Sep 11 2020,232
Sat Sep 12 2020,204
Sun Sep 13 2020,313
Mon Sep 14 2020,251
Tue Sep 15 2020,315
Wed Sep 16 2020,293
Thu Sep 17 2020,401
Fri Sep 18 2020,407
Sat Sep 19 2020,365
Sun Sep 20 2020,425
Mon Sep 21 2020,478
Tue Sep 22 2020,335
Wed Sep 23 2020,409
Thu Sep 24 2020,409
Fri Sep 25 2020,435
Sat Sep 26 2020,491
Sun Sep 27 2020,700
Mon Sep 28 2020,554
Tue Sep 29 2020,625
Wed Sep 30 2020,538
Thu Oct 01 2020,732
Fri Oct 02 2020,653
Sat Oct 03 2020,566
Sun Oct 04 2020,615
Mon Oct 05 2020,548
Tue Oct 06 2020,583
Wed Oct 07 2020,797
Thu Oct 08 2020,939
Fri Oct 09 2020,809
Sat Oct 10 2020,649
Sun Oct 11 2020,807
Mon Oct 12 2020,746
Tue Oct 13 2020,721
Wed Oct 14 2020,783
Thu Oct 15 2020,712
Fri Oct 16 2020,805
Sat Oct 17 2020,658
Sun Oct 18 2020,704
Mon Oct 19 2020,821
Tue Oct 20 2020,790
Wed Oct 21 2020,841
Thu Oct 22 2020,826
Fri Oct 23 2020,978
Sat Oct 24 2020,1042
Sun Oct 25 2020,851
Mon Oct 26 2020,827
Tue Oct 27 2020,834
Wed Oct 28 2020,934
Thu Oct 29 2020,896
Fri Oct 30 2020,1015
Sat Oct 31 2020,977
Sun Nov 01 2020,948
Mon Nov 02 2020,1050
Tue Nov 03 2020,987
Wed Nov 04 2020,998
Thu Nov 05 2020,1003
Fri Nov 06 2020,1132
Sat Nov 07 2020,1328
Sun Nov 08 2020,1242
Mon Nov 09 2020,1388
Tue Nov 10 2020,1426
Wed Nov 11 2020,1575
Thu Nov 12 2020,1396
Fri Nov 13 2020,1581
Sat Nov 14 2020,1248
Sun Nov 15 2020,1487
Mon Nov 16 2020,1249
Tue Nov 17 2020,1417
Wed Nov 18 2020,1210
Thu Nov 19 2020,1418
Fri Nov 20 2020,1588
Sat Nov 21 2020,1534
Sun Nov 22 2020,1589
Mon Nov 23 2020,1009
Tue Nov 24 2020,1373
Wed Nov 25 2020,1478
Thu Nov 26 2020,1855
Fri Nov 27 2020,1822
Sat Nov 28 2020,1708
Sun Nov 29 2020,1746
Mon Nov 30 2020,1707
Tue Dec 01 2020,1723
Wed Dec 02 2020,1824
Thu Dec 03 2020,1780
Fri Dec 04 2020,1859
Sat Dec 05 2020,1924
Sun Dec 06 2020,1925
Mon Dec 07 2020,1676
Tue Dec 08 2020,1890
Wed Dec 09 2020,1983
Thu Dec 10 2020,1848
Fri Dec 11 2020,1873
Sat Dec 12 2020,1677
Sun Dec 13 2020,1940
Mon Dec 14 2020,2275
Tue Dec 15 2020,2139
Wed Dec 16 2020,2432
Thu Dec 17 2020,2290
Fri Dec 18 2020,2357
Sat Dec 19 2020,2316
Sun Dec 20 2020,2123
Mon Dec 21 2020,2202
Tue Dec 22 2020,2408
Wed Dec 23 2020,2447
Thu Dec 24 2020,2159
Fri Dec 25 2020,2142
Sat Dec 26 2020,2005
Sun Dec 27 2020,1939
Mon Dec 28 2020,2553
Tue Dec 29 2020,2923
Wed Dec 30 2020,3328
Thu Dec 31 2020,2476
Fri Jan 01 2021,3363
Sat Jan 02 2021,2964
Sun Jan 03 2021,3270
Mon Jan 04 2021,3128
Tue Jan 05 2021,3266
Wed Jan 06 2021,3519
Thu Jan 07 2021,4249
Fri Jan 08 2021,3443
Sat Jan 09 2021,3945
Sun Jan 10 2021,3338
Mon Jan 11 2021,2903
Tue Jan 12 2021,2961
Wed Jan 13 2021,3326
Thu Jan 14 2021,2998
Fri Jan 15 2021,3056
Sat Jan 16 2021,3422
Sun Jan 17 2021,2578
Mon Jan 18 2021,1913
Tue Jan 19 2021,2655
Wed Jan 20 2021,2632
Thu Jan 21 2021,2662
Fri Jan 22 2021,2359
Sat Jan 23 2021,2417
Sun Jan 24 2021,1958
Mon Jan 25 2021,1740
Tue Jan 26 2021,1670
Wed Jan 27 2021,2093
Thu Jan 28 2021,1837
Fri Jan 29 2021,2063
Sat Jan 30 2021,1848
Sun Jan 31 2021,1969
Mon Feb 01 2021,745
Tue Feb 02 2021,1172
Wed Feb 03 2021,1563
Thu Feb 04 2021,1670
Fri Feb 05 2021,1388
Sat Feb 06 2021,1489
Sun Feb 07 2021,1265
Mon Feb 08 2021,1022
Tue Feb 09 2021,1072
Wed Feb 10 2021,945
Thu Feb 11 2021,1076
Fri Feb 12 2021,1300
Sat Feb 13 2021,981
Sun Feb 14 2021,964
Mon Feb 15 2021,904
Tue Feb 16 2021,847
Wed Feb 17 2021,1038
Thu Feb 18 2021,1150
Fri Feb 19 2021,1228
Sat Feb 20 2021,1087
Sun Feb 21 2021,1058
Mon Feb 22 2021,975
Tue Feb 23 2021,1054
Wed Feb 24 2021,1138
Thu Feb 25 2021,1258
Fri Feb 26 2021,1185
Sat Feb 27 2021,1062
Sun Feb 28 2021,1023
Mon Mar 01 2021,966
Tue Mar 02 2021,958
Wed Mar 03 2021,994
Thu Mar 04 2021,1250
Fri Mar 05 2021,990
Sat Mar 06 2021,1299
Sun Mar 07 2021,1631
Mon Mar 08 2021,1185
Tue Mar 09 2021,1316
Wed Mar 10 2021,1092
Thu Mar 11 2021,1371
Fri Mar 12 2021,1468
Sat Mar 13 2021,1747
Sun Mar 14 2021,1268
Mon Mar 15 2021,1074
Tue Mar 16 2021,1508
Wed Mar 17 2021,1553
Thu Mar 18 2021,1745
Fri Mar 19 2021,1829
Sat Mar 20 2021,1791
Sun Mar 21 2021,1699
Mon Mar 22 2021,1546
Tue Mar 23 2021,1571
Wed Mar 24 2021,2380
Thu Mar 25 2021,2169
Fri Mar 26 2021,2453
Sat Mar 27 2021,2448
Sun Mar 28 2021,2094
Mon Mar 29 2021,2336
Tue Mar 30 2021,2333
Wed Mar 31 2021,2557
Thu Apr 01 2021,3089
Fri Apr 02 2021,3009
Sat Apr 03 2021,3041
Sun Apr 04 2021,2938
Mon Apr 05 2021,3065
Tue Apr 06 2021,3215
Wed Apr 07 2021,3295
Thu Apr 08 2021,4227
